Multiplier,Algorithm,Assigned,Avg Load,Stddev,Variance,Max Load,Jain Index,Imbalance Ratio,Avg Attempts,Avg Hashes,Avg Insertion Time
0.5,fixed_ch,79,15.24,13.270357945436137,176.1024,30,0.5687569791360564,1.968503937007874,10.30379746835443,15.126582278481013,2.30596447241275e-06
0.5,fixed_rj,79,15.24,12.649996047430212,160.0224,30,0.5920709697155093,1.968503937007874,23.949367088607595,23.949367088607595,8.630001638817974e-06
0.5,dynamic_rj,79,15.24,4.519114957599552,20.4224,17,0.9191768244419819,1.1154855643044619,241.13924050632912,241.13924050632912,8.936629207741244e-05
0.75,fixed_ch,90,22.88,10.738044514714957,115.3056,30,0.8194965560425799,1.3111888111888113,24.11111111111111,30.466666666666665,3.714661498169799e-06
0.75,fixed_rj,90,22.88,11.190424478097334,125.2256,30,0.8069651005056111,1.3111888111888113,51.03333333333333,51.03333333333333,2.8363474599131336e-05
0.75,dynamic_rj,87,22.28,5.875508488633133,34.5216,24,0.9349777744292925,1.0771992818671454,337.9310344827586,328.7586206896552,0.00014712593772194603
1.0,fixed_ch,123,30.0,0.0,0,30,1.0,1.0,45.84552845528455,51.94308943089431,3.3197365457077325e-06
1.0,fixed_rj,117,27.12,8.061364648742792,64.9856,30,0.9188167099740155,1.1061946902654867,94.82905982905983,94.82905982905983,6.52488843485381e-05
1.0,dynamic_rj,102,22.68,4.738945030278363,22.4576,24,0.9581670516354966,1.0582010582010581,473.7549019607843,374.0882352941176,0.0001840138341621209
1.5,fixed_ch,113,30.0,0.0,0,30,1.0,1.0,130.43362831858408,137.07079646017698,7.083157559374829e-06
1.5,fixed_rj,117,27.84,7.373899917953864,54.3744,30,0.9344444444444444,1.0775862068965518,255.0940170940171,255.0940170940171,6.399225521754552e-05
1.5,dynamic_rj,104,22.92,4.381050102429781,19.1936,24,0.9647513406302799,1.0471204188481675,832.7692307692307,550.1153846153846,0.000146628885002403
2.0,fixed_ch,122,30.0,0.0,0,30,1.0,1.0,200.24590163934425,206.39344262295083,1.0072794373038556e-05
2.0,fixed_rj,123,27.92,7.1044774614323325,50.4736,30,0.9391884337349398,1.0744985673352434,402.1463414634146,402.1463414634146,6.919450872378768e-05
2.0,dynamic_rj,107,23.16,4.1151427678757395,16.9344,24,0.96939492517892,1.0362694300518134,1167.4672897196263,713.2242990654206,0.00015500691740103506
